voornaam,familienaam,geslacht,Geboortedatm,klasgroep,groep
Leonard,Halkyard,Male,4/5/2001,1MCT2,0
Adi,Caulcutt,Female,3/12/2001,1MCT1,0
Daron,Silvester,Male,11/23/2000,1MCT1,0
Farrell,Artindale,Male,6/30/2001,1MCT5,0
Wandie,Wickling,Female,1/25/1999,1MCT5,0
Ulises,Turnbull,Male,8/24/2000,1MCT2,1
Tessi,Vaz,Female,7/13/2000,1MCT2,1
Morgen,Matzl,Male,2/27/2000,1MCT4,1
Nev,McCallum,Male,1/23/2001,1MCT4,1
Georgi,Mateescu,Male,9/5/2001,1MCT1,1
Morie,Mityakov,Male,2/3/1999,1MCT5,2
Manya,Oglesbee,Female,1/21/2001,1MCT4,2
Gianna,Compston,Female,10/11/1999,1MCT2,2
Vassily,Hogbin,Male,12/28/2000,1MCT2,2
Ker,Krystek,Male,1/29/1999,1MCT1,2
Shane,Crann,Male,5/30/1999,1MCT2,3
Jory,Pigeon,Male,12/20/2001,1MCT1,3
Reggis,Lowless,Male,9/10/2001,1MCT4,3
Margie,Hutcheson,Female,6/9/2001,1MCT4,3
Kacy,Clapperton,Female,4/10/2001,1MCT5,3
Lola,Tocque,Female,8/9/1999,1MCT4,4
Georgie,Crankshaw,Female,9/20/2001,1MCT5,4
Zelma,MacAnellye,Female,5/8/2001,1MCT5,4
Raymond,Gravells,Male,3/4/1999,1MCT5,4
Rob,Haslam,Male,4/9/2000,1MCT4,4
Olly,Cudbird,Female,11/20/2001,1MCT5,5
Davide,Esmonde,Male,8/7/1999,1MCT1,5
Denni,Shufflebotham,Female,10/4/1999,1MCT5,5
Bernadina,Danshin,Female,3/13/2001,1MCT1,5
Annemarie,McWhinnie,Female,7/31/1999,1MCT1,5
Richmond,Gronow,Male,10/21/1999,1MCT4,6
Margarethe,Lampet,Female,4/11/2001,1MCT4,6
Hakim,Bexon,Male,8/18/2001,1MCT5,6
Syd,Crandon,Male,10/8/1999,1MCT5,6
Briano,Beevor,Male,2/11/2001,1MCT1,6
Berton,Bulleyn,Male,7/15/1999,1MCT1,7
Grady,Pickston,Male,12/19/2001,1MCT5,7
Doti,Start,Female,6/5/1999,1MCT1,7
Ileana,Goldberg,Female,9/20/1999,1MCT5,7
Martino,Waleworke,Male,1/15/2000,1MCT2,7
Felike,Chislett,Male,1/21/1999,1MCT1,8
Alfy,Ladloe,Male,12/22/1999,1MCT2,8
Sebastian,Lowe,Male,6/17/2001,1MCT4,8
Carlin,Horche,Female,6/24/1999,1MCT1,8
Skipton,Dzenisenka,Male,5/29/2001,1MCT2,8
Jeth,Wisam,Male,2/13/2001,1MCT2,9
Collie,Smitherman,Female,3/15/2001,1MCT1,9
Prudence,Dagworthy,Female,7/15/2001,1MCT5,9
Anna,Mewe,Female,10/6/2000,1MCT2,9
Yolanda,Verbeke,Female,8/16/2000,1MCT4,9
Stanly,Hurlin,Male,5/8/1999,1MCT1,10
Griffie,Salkeld,Male,11/25/2001,1MCT4,10
Bella,Frenzl,Female,3/21/2001,1MCT1,10
Jeanie,Amey,Female,9/22/2001,1MCT2,10
Gar,Parell,Male,9/1/2001,1MCT2,10
Katlin,Merrgan,Female,11/16/2000,1MCT5,11
Cobby,D'Hooge,Male,8/24/2001,1MCT2,11
Silvan,But,Male,11/24/2000,1MCT5,11
Calv,Heading,Male,9/19/2001,1MCT1,11
Henry,Raymond,Male,7/29/2001,1MCT2,11
Ali,Davidsen,Female,11/7/2001,1MCT5,12
Lemuel,Pedersen,Male,1/27/2001,1MCT4,12
Stevie,Heindle,Male,2/1/1999,1MCT2,12
Tanitansy,Wadeson,Female,8/13/2000,1MCT4,12
Calli,Hovy,Female,1/31/2000,1MCT4,12
Wynn,Medd,Male,10/13/1999,1MCT4,13
Kelli,Lerohan,Female,5/11/1999,1MCT5,13
Zonnya,Hartlebury,Female,11/16/1999,1MCT1,13
Karlie,Stickland,Female,6/14/2000,1MCT4,13
Rolf,Cacacie,Male,8/4/2000,1MCT2,13
Suzie,Wickenden,Female,12/16/2001,1MCT2,14
Melicent,Dutchburn,Female,2/8/2000,1MCT2,14
Carley,Kiggel,Female,9/15/2000,1MCT4,14
Christiana,Biles,Female,8/29/2000,1MCT1,14
Lianna,Schuster,Female,6/20/1999,1MCT5,14
Yoshi,Sudworth,Female,6/18/2001,1MCT5,15
Melanie,Colbrun,Female,5/22/1999,1MCT1,15
Dorie,Abbyss,Female,5/4/2000,1MCT4,15
Daile,Wharton,Female,7/30/2001,1MCT1,15
Katheryn,Stallion,Female,10/10/2000,1MCT4,15
Stoddard,Sings,Female,7/1/2000,1MCT2,16
Ignatius,Oldroyde,Male,11/17/2000,1MCT2,16
Monte,McGinlay,Male,1/11/2000,1MCT1,16
Barnaby,Capel,Male,3/21/2000,1MCT5,16
Gerek,Raymond,Male,7/31/2000,1MCT1,16
Cornie,Creedland,Female,1/21/2001,1MCT4,17
Noellyn,Whittle,Female,10/28/2001,1MCT4,17
Hallie,Nodes,Female,5/3/2000,1MCT1,17
Shirleen,Lambdean,Female,2/21/1999,1MCT1,17
Sarette,Nardoni,Female,4/18/2001,1MCT1,17
Jasun,Yetts,Male,7/17/2000,1MCT2,18
Daren,Kirsch,Male,6/7/2000,1MCT4,18
